Project Name,Package Name,Architecture Smell,Cause of the Smell
imp,com.tagtraum.perf.gcviewer.imp,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 40
imp,com.tagtraum.perf.gcviewer.imp,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestLogHandler; TestDataReaderJRockit1_6_0; TestDataReaderGo; TestDataReaderSun1_4_0; TestDataReaderSun1_8_0; TestDataReaderUJLG1JDK12; TestDataReaderSun1_8_0G1; TestDataReaderSun1_6_0; TestDataReaderUJLCMS; TestDataReaderIBM_J9_R28; TestDataReaderUJLParallel; TestDataReaderUJLG1JDK11; TestDataReaderUJLG1; TestDataReaderUJLSerialJdk17; TestDataReaderJRockit1_5_0; TestDataReaderIBM_J9_R27; TestDataReaderIBM_J9_R26; TestDataReaderSun1_7_0G1; TestDataReaderSun1_6_0G1; TestDataReaderFacade; TestDataReaderUJLG1JDK17; TestDataReaderUJLSerial; TestDataReaderSun1_7_0]; [TestDataReaderUJLShenandoah]; [TestDataReaderSun1_3_1_19]; [TestDataReaderHPUX1_2]; [TestAbstractDataReaderSun]; [TestAbstractDataReaderSun.AbstractDataReaderSunSub]; [TestDataReaderIBMi5OS1_4_2]; [TestDataReaderUJLZGC]; [TestDataReaderSun1_3_1]; [TestDataReaderFactory]; [TestDataReaderIBM1_2_2]; [TestDataReaderSun1_5_0]; [TestDataReaderJRockit1_4_2]; [TestDataReaderSun1_2_2]; [TestDataReaderIBM1_3_1]; [TestDataReaderIBM1_4_2]; [TestDataReaderHPUX1_4_1]; [TestDataReaderIBMJ9_5_0]. LCC (Lack of Component Cohesion) = 0.45
