Project Name,Package Name,Architecture Smell,Cause of the Smell
GCViewer,com.tagtraum.perf.gcviewer.imp,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 72
GCViewer,com.tagtraum.perf.gcviewer.imp,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.ctrl.impl
GCViewer,com.tagtraum.perf.gcviewer.imp,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer.math.
GCViewer,com.tagtraum.perf.gcviewer.imp,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.util; com.tagtraum.perf.gcviewer.model.
GCViewer,com.tagtraum.perf.gcviewer.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestHttpUrlConnectionHelper; HttpUrlConnectionHelper]; [TestLocalisationHelper; LocalisationHelper]; [TestNumberParser; NumberParser]; [BuildInfoReader]; [LoggerHelper]; [DateHelper]; [TimeFormat; FormattedValue; MemoryFormat]; [ParseInformation]. LCC (Lack of Component Cohesion) = 0.62
GCViewer,com.tagtraum.perf.gcviewer.ctrl.impl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.ctrl.action
GCViewer,com.tagtraum.perf.gcviewer.ctrl.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [GcSeriesLoaderTest; GcSeriesLoader]; [TestGCModelLoaderController; GCModelLoaderControllerImpl; ViewMenuController; GCViewerGuiBuilder; GCModelLoaderFactoryTest; GCModelLoaderFactory; GCModelLoaderImpl; TestGCModelLoader; GCModelLoaderGroupTrackerImpl; AbstractGCModelLoaderImpl; WatchStateController; GCDocumentController; GCViewerGuiController; RecentGCResourcesMenuController; GCModelSeriesLoaderImplTest; GCModelSeriesLoaderImpl]; [FileDropTargetListener]; [FileDropTargetListener.DropFlavor]; [GcSeriesLoader.Timestamp]; [GcSeriesLoader.GcDateStamp]; [GcSeriesLoader.GcTimeStamp]; [GCViewerUncaughtExceptionHandler]; [GCViewerGuiInternalFrameController]; [TimeOffsetPanelController]. LCC (Lack of Component Cohesion) = 0.38
GCViewer,com.tagtraum.perf.gcviewer.ctrl.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer.ctrl.
GCViewer,com.tagtraum.perf.gcviewer.ctrl.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.view; com.tagtraum.perf.gcviewer.ctrl.
GCViewer,com.tagtraum.perf.gcviewer.ctrl.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.view.model; com.tagtraum.perf.gcviewer.view; com.tagtraum.perf.gcviewer.ctrl.action.
GCViewer,com.tagtraum.perf.gcviewer.ctrl.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer.view; com.tagtraum.perf.gcviewer.ctrl.
GCViewer,com.tagtraum.perf.gcviewer.math,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestRegressionLine; RegressionLine; TestDoubleData; DoubleData; Sum; DoubleDataPercentile; TestDoubleDataPercentile]; [TestIntData; IntData]. LCC (Lack of Component Cohesion) = 0.22
GCViewer,com.tagtraum.perf.gcviewer.model,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.imp; com.tagtraum.perf.gcviewer
GCViewer,com.tagtraum.perf.gcviewer.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestGCEventUJL; ConcurrentGCEvent; GCModel; AbstractGcResource; GCEvent; GCEventUJL; AbstractGCEvent; G1GcEvent; GcResourceFile; VmOperationEvent; GcResourceSeries; GCResource; TestGcEvent; TestGCModel; GcResourceSeriesTest; TestGCResource; TestAbstractGCEvent]; [GCModel.FileInformation]; [GCModel.Format]; [AbstractGCEvent.ExtendedType]; [AbstractGCEvent.Type]; [AbstractGCEvent.GcPattern]; [AbstractGCEvent.Concurrency]; [AbstractGCEvent.Generation]; [AbstractGCEvent.CollectionType]. LCC (Lack of Component Cohesion) = 0.36
GCViewer,com.tagtraum.perf.gcviewer.view.util,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ExtensionFileFilterTest; ExtensionFileFilter]; [OSXAdapter; OSXSupport]; [UrlDisplayHelper]; [ImageHelper]. LCC (Lack of Component Cohesion) = 0.67
GCViewer,com.tagtraum.perf.gcviewer.view.model,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [TestRecentGCResourcesModel; RecentGCResourcesModel; RecentGCResourcesListener; RecentGCResourcesEvent; GCResourceGroup; TestGCResourceGroup]; [PropertyChangeEventConsts]; [GCPreferences]. LCC (Lack of Component Cohesion) = 0.38
GCViewer,com.tagtraum.perf.gcviewer.view,God Component,The tool detected the smell in this component because the component contains high number of classes. Number of classes in the component are: 48
GCViewer,com.tagtraum.perf.gcviewer.view,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.view.renderer
GCViewer,com.tagtraum.perf.gcviewer.view,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [ModelMetricsPanelTest; ModelMetricsPanel; ChartPanelView; ChartPanelView.ViewBar; ModelChart; GCDocument; GCDocument.MultiModelChartFacade; ModelChartImpl; TimeOffsetPanel; GCModelLoaderView; SimpleChartRenderer; ModelChartImplTest; ModelDetailsPanel; RecentGCResourcesMenu; GCViewerGui; GCViewerGuiToolBar; ChartRenderer; ActionCommands; GCViewerGuiMenuBar]; [ModelChartImplTest.TestCase]; [AutoCompletionTextField; AutoCompletionComboBox; OpenUrlView]; [AutoCompletionTextField.AutoCompletionComboBoxModel]; [ModelMetricsPanel.TwoLabelsContainer]; [ModelMetricsPanel.ValuesTab]; [ModelMetricsPanel.MemoryTab]; [ModelMetricsPanel.PauseTab]; [ModelMetricsPanel.SummaryTab]; [StayOpenCheckBoxMenuItem]; [AboutDialog; ScreenCenteredDialog; TextFileViewer]; [ModelDetailsPanel.DoubleDataMapTable]; [ModelDetailsPanel.DoubleDataMapModel]; [ChartPanelView.ViewBarButton]; [ChartPanelView.MinMaxButton]; [TextFileViewer.HyperlinkAdapter]; [OpenFileView]; [DesktopPane]; [GCDocument.MasterViewPortChangeListener]; [GCDocument.ScrollBarMaximumChangeListener]; [GCDocument.ResizeListener]; [ModelChartImpl.Chart]; [ModelChartImpl.Ruler]; [GCModelLoaderView.SquareIcon]; [SimpleChartRenderer.SwingChartToStreamHelper]; [SimpleChartRenderer.ChartDrawingParameters]. LCC (Lack of Component Cohesion) = 0.54
GCViewer,com.tagtraum.perf.gcviewer.view,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer.math.
GCViewer,com.tagtraum.perf.gcviewer.view,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer.view; com.tagtraum.perf.gcviewer.view.renderer; com.tagtraum.perf.gcviewer.view
GCViewer,com.tagtraum.perf.gcviewer.exp,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.exp.impl
GCViewer,com.tagtraum.perf.gcviewer.exp,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.exp.impl; com.tagtraum.perf.gcviewer.model.
GCViewer,com.tagtraum.perf.gcviewer.exp,Cyclic Dependency,The tool detected the smell in this component because this component participates in a cyclic dependency. The participating components in the cycle are: com.tagtraum.perf.gcviewer.exp; com.tagtraum.perf.gcviewer.exp.impl; com.tagtraum.perf.gcviewer.exp
GCViewer,com.tagtraum.perf.gcviewer.ctrl,Unstable Dependency,The tool detected the smell in this component because this component depends on other components that are less stable than itself. This component depends on following less stable component(s): com.tagtraum.perf.gcviewer.view
GCViewer,com.tagtraum.perf.gcviewer.ctrl.action,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [WindowMenuItemAction]; [Arrange]; [Zoom]; [OpenFile]; [About]; [Refresh]; [ReadmeAction]; [Watch; RefreshWatchDog; Watch.TimerInfo]; [Watch.GCDocumentCloseListener]; [OpenSeries]; [OSXFullScreen]; [OpenURL]; [LicenseAction]; [Export]; [Export.ExportExtensionFileFilter]; [OpenRecent]; [Exit]; [RefreshWatchDog.ModelReloader]. LCC (Lack of Component Cohesion) = 0.9
GCViewer,com.tagtraum.perf.gcviewer.view.renderer,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [UsedHeapRenderer; PolygonChartRenderer; UsedTenuredRenderer; TotalYoungRenderer; TotalTenuredRenderer; TotalHeapRenderer; InitialMarkLevelRenderer; UsedYoungRenderer; GCTimesRenderer]; [PolygonChartRenderer.ScaledPolygon]; [PolygonChartRenderer.InsertionBoundary]; [GCRectanglesRenderer]; [FullGCLineRenderer]; [IncLineRenderer]; [ConcurrentGcBegionEndRenderer]. LCC (Lack of Component Cohesion) = 0.47
GCViewer,com.tagtraum.perf.gcviewer.view.renderer,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer.view.
GCViewer,com.tagtraum.perf.gcviewer.exp.impl,Feature Concentration,The tool detected the smell in this component because the component realizes more than one architectural concern/feature. Independent sets of related classes within this component are: [CSVTSDataWriter]; [CsvSummaryExportFormatter; ISummaryExportFormatter; SummaryDataWriter]; [SimpleGcWriter]; [CSVDataWriter]; [PlainDataWriter]; [DataWriterFactory; PNGDataWriter]. LCC (Lack of Component Cohesion) = 0.67
GCViewer,com.tagtraum.perf.gcviewer.exp.impl,Scattered Functionality,The tool detected the smell in this component because a set of two or more components realizes the same high-level architectural concern. Following components realize the same concern: com.tagtraum.perf.gcviewer.model; com.tagtraum.perf.gcviewer.math; com.tagtraum.perf.gcviewer.util.
