Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path,Line no
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReaderSun,10,0,29,0,515,97,3,2,0.20689655172413793,0,2,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/AbstractDataReaderSun.java,23
imp,com.tagtraum.perf.gcviewer.imp,DataReaderFacade,1,0,4,2,103,14,0,0,0.0,0,4,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderFacade.java,24
imp,com.tagtraum.perf.gcviewer.imp,DataReaderException,0,0,4,4,18,4,0,0,-1.0,1,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderException.java,3
imp,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler,8,0,16,3,0,47,0,0,0.0,1,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/IBMJ9SAXHandler.java,25
imp,com.tagtraum.perf.gcviewer.imp,IBMJ9SAXHandler.AF,29,0,0,0,61,0,0,0,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/IBMJ9SAXHandler.java,280
imp,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0,42,0,14,2,482,73,0,3,0.14285714285714285,0,2,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderSun1_6_0.java,29
imp,com.tagtraum.perf.gcviewer.imp,DataReaderIBM_J9_R28,11,0,15,2,220,57,0,2,0.13333333333333333,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBM_J9_R28.java,30
imp,com.tagtraum.perf.gcviewer.imp,DataReaderHPUX1_4_1,0,0,3,2,0,16,0,2,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderHPUX1_4_1.java,22
imp,com.tagtraum.perf.gcviewer.imp,DataReader,0,0,1,0,12,1,1,0,-1.0,2,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReader.java,7
imp,com.tagtraum.perf.gcviewer.imp,DataReaderJRockit1_6_0,3,0,3,2,139,36,0,2,0.6666666666666666,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderJRockit1_6_0.java,15
imp,com.tagtraum.perf.gcviewer.imp,ParseException,2,0,4,4,26,5,1,0,0.5,4,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/ParseException.java,7
imp,com.tagtraum.perf.gcviewer.imp,DataReaderIBM1_3_1,1,0,10,2,0,25,0,2,0.2,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBM1_3_1.java,18
imp,com.tagtraum.perf.gcviewer.imp,DataReaderUnifiedJvmLogging,58,0,33,1,0,82,0,2,0.06060606060606061,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderUnifiedJvmLogging.java,29
imp,com.tagtraum.perf.gcviewer.imp,DataReaderUnifiedJvmLogging.ParseContext,5,0,0,0,37,0,0,0,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderUnifiedJvmLogging.java,633
imp,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_2_2,0,0,2,2,73,9,0,2,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderSun1_2_2.java,13
imp,com.tagtraum.perf.gcviewer.imp,DataReaderFactory,4,0,5,1,197,60,0,0,0.0,1,2,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderFactory.java,15
imp,com.tagtraum.perf.gcviewer.imp,DataReaderJRockit1_4_2,2,0,3,2,123,30,0,2,0.6666666666666666,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderJRockit1_4_2.java,15
imp,com.tagtraum.perf.gcviewer.imp,DataReaderIBM1_4_2,1,0,10,2,0,27,0,2,0.2,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBM1_4_2.java,24
imp,com.tagtraum.perf.gcviewer.imp,DataReaderIBM_J9_5_0,1,0,2,2,44,5,0,2,0.0,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBM_J9_5_0.java,26
imp,com.tagtraum.perf.gcviewer.imp,DataReaderIBM1_3_0,0,0,8,2,0,23,0,2,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBM1_3_0.java,14
imp,com.tagtraum.perf.gcviewer.imp,DataReaderGo,1,0,3,2,50,9,0,2,0.6666666666666666,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderGo.java,16
imp,com.tagtraum.perf.gcviewer.imp,DataReaderHPUX1_2,0,0,3,2,82,11,0,2,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderHPUX1_2.java,16
imp,com.tagtraum.perf.gcviewer.imp,UnknownGcTypeException,0,0,3,3,15,3,0,1,-1.0,3,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/UnknownGcTypeException.java,5
imp,com.tagtraum.perf.gcviewer.imp,MonitoredBufferedInputStream,6,1,12,11,85,14,0,0,0.0,1,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/MonitoredBufferedInputStream.java,11
imp,com.tagtraum.perf.gcviewer.imp,MonitoredBufferedInputStream.ProgressCallback,0,0,0,0,3,0,0,0,-1.0,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/MonitoredBufferedInputStream.java,21
imp,com.tagtraum.perf.gcviewer.imp,GcLogType,0,0,0,0,5,0,0,0,-1.0,5,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/GcLogType.java,3
imp,com.tagtraum.perf.gcviewer.imp,DataReaderTools,2,0,5,4,79,14,0,0,0.0,1,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderTools.java,11
imp,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_6_0G1,25,0,10,2,475,63,0,3,0.2,0,2,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderSun1_6_0G1.java,29
imp,com.tagtraum.perf.gcviewer.imp,DataReaderIBMi5OS1_4_2,1,0,9,2,0,24,0,2,0.2222222222222222,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderIBMi5OS1_4_2.java,17
imp,com.tagtraum.perf.gcviewer.imp,DataReaderJRockit1_5_0,2,0,3,2,150,42,0,2,0.6666666666666666,0,0,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderJRockit1_5_0.java,15
imp,com.tagtraum.perf.gcviewer.imp,DataReaderSun1_3_1,1,0,3,2,80,16,0,3,0.6666666666666666,0,2,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/DataReaderSun1_3_1.java,17
imp,com.tagtraum.perf.gcviewer.imp,AbstractDataReader,3,0,5,1,44,7,15,1,0.4,0,1,/Users/ayushpatel/Desktop/CSCI3130/Assignment3/GCViewer/src/main/java/com/tagtraum/perf/gcviewer/imp/AbstractDataReader.java,14
